User_Id,Item_Id,Posted,Title,Developer
js41637,239030,2013-11-29,"Papers, Please",
evcentric,263360,2014-10-15,3089 -- Futuristic Action RPG,Phrts Software
doctr,250320,2013-10-14,The Wolf Among Us,Telltale Games
maplemage,204300,2013-07-11,Awesomenauts - the 2D moba,Ronimo Games
76561198077246154,304930,2014-08-25,Unturned,Smartly Dressed Games
tru_mu_,287980,2015-12-15,Mini Metro,Dinosaur Polo Club
VVillis,213670,2015-01-06,South Park™: The Stick of Truth™,Obsidian Entertainment
76561198070194565,248570,2015-11-09,Toribash,Nabi Studios
UTNerd24,376920,2015-06-06,Tiki Man,Anarchy Enterprises
Life-Of-Blu,377160,2015-11-13,Fallout 4,Bethesda Game Studios
CaptianAutismo,252490,2015-12-17,Rust,Facepunch Studios
kube134,251990,2014-06-28,Long Live The Queen,Hanako Games
iamthekingofbrowntown,252950,2015-09-13,Rocket League®,Psyonix Inc
Posiblydead,277430,2014-04-11,Halo: Spartan Assault,Vanguard Games Industries
76561198102421718,274940,2015-08-03,Depth,Digital Confectioners
76561198030567998,32430,2014-02-23,STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,Lucasartsaspyr Studios
76561198030567998,332800,2014-11-11,Five Nights at Freddy's 2,Scott Cawthon
76561198060447950,200510,2015-09-26,XCOM: Enemy Unknown,Firaxis Gamesferal Interactive Macferal Interactive Linux
Nozomikat,264200,2014-08-01,One Finger Death Punch,Silver Dollar Games
ii_voltage_ii,253710,2014-06-29,theHunter Classic,Expansive Worldsavalanche Studios
Xx-Woods,295550,2014-08-17,Royal Quest,Katauri
kevinator23,8850,2015-09-06,BioShock® 2,K Marink Chinadigital Extremesk Australiaferal Interactive Mac
kevinator23,220240,2014-05-24,Far Cry 3,Ubisoft Montreal Massive Entertainment And Ubisoft Shanghai
kevinator23,320760,2015-07-06,Tokyo School Life,M Coltd
de_Butl3r,209870,2014-10-13,Blacklight: Retribution,Hardsuit Labs
Bluezap1,362890,2015-12-27,Black Mesa,Crowbar Collective
Lord_Exploit,311560,2015-03-13,Assassin’s Creed® Rogue,Ubisoft Sofiaubisoft Kiev
AVATAR715,266430,2015-02-25,Anarchy Arcade,Elijah Newmangomez
Magjiikal,370480,2015-10-05,Pixel Galaxy,Serenity Forge
2768820078,221380,2015-08-08,Age of Empires II HD,Skybox Labshidden Path Entertainmentensemble Studios
2768820078,287700,2015-09-01,METAL GEAR SOLID V: THE PHANTOM PAIN,Konami Digital Entertainment
EizanAratoFujimaki,70,2015-10-28,Half-Life,Valve
Pyromanic,240,2013-02-15,Counter-Strike: Source,Valve
WitchHunter4542,237310,2015-01-13,Elsword,Kog
76561198043458582,107410,2015-11-22,Arma 3,Bohemia Interactive
1337lolroflmao,7940,2013-12-28,Call of Duty® 4: Modern Warfare®,Infinity Wardaspyr Mac
1337lolroflmao,10180,2013-12-28,Call of Duty®: Modern Warfare® 2,Infinity Wardaspyr Mac
76561198065593074,304050,2015-09-23,Trove,Trion Worlds
66666669999999,302830,2015-01-05,BLOCKADE 3D,Shumkov Dmitriy
ReMiXOfficalSteam,352460,2015-10-12,Dead Realm,Section Studios
redsncrimson,274920,2014-12-23,FaceRig,Holotech Studios
76561198071214618,268750,2015-05-11,Magicite,Smashgames
Michaelele,6060,2014-08-07,"Star Wars: Battlefront 2 (Classic, 2005)",Pandemic Studios
76561198079990063,231040,2014-03-14,Beatbuddy: Tale of the Guardians,Threaks
76561198084542731,47790,2014-02-16,Medal of Honor™,Electronic Arts
GamerFag,380,2011-01-27,Half-Life 2: Episode One,Valve
GamerFag,420,2011-01-27,Half-Life 2: Episode Two,Valve
ulramite,290020,2014-10-27,LogicBots,Incandescent Games
SALTTHEW0UND,248820,2015-06-12,Risk of Rain,Hopoo Games Llc
TomoeMamiewe,10150,2014-02-16,Prototype™,Radical Entertainment
76561198057086148,214950,2015-01-17,Total War™: ROME II - Emperor Edition,Creative Assembly
76561198167207237,265930,2015-11-29,Goat Simulator,Coffee Stain Studios
advenger95,307690,2015-09-02,Sleeping Dogs: Definitive Edition,United Front Gamesferal Interactive Mac
Agronoth,9450,2015-07-15,"Warhammer® 40,000: Dawn of War® - Soulstorm",Relic Entertainment
76561198068565589,286570,2015-07-18,F1 2015,Codemastersferal Interactive Linux
NaruseAiria,108600,2014-10-15,Project Zomboid,The Indie Stone
76561198067713802,239660,2015-09-27,Soldier Front 2,Dragonfly
Albolah,283920,2015-12-29,Putt-Putt® Joins the Parade,Humongous Entertainment
Albolah,294650,2015-12-30,Putt-Putt® Goes to the Moon,Humongous Entertainment
maxpaynepillkiller,12120,2015-12-30,Grand Theft Auto: San Andreas,Rockstar Games
76561198075935236,250900,2015-08-27,The Binding of Isaac: Rebirth,Nicalis Inc
AMV72,206440,2013-01-21,To the Moon,Freebird Games
Andraison,22230,2015-07-31,Rock of Ages,Ace Team
76561198099625419,200260,2014-05-08,Batman: Arkham City - Game of the Year Edition,Rocksteady Studiosferal Interactive Mac
76561198099625419,241540,2013-12-20,State of Decay,Undead Labs
76561198037888300,344770,2015-09-12,fault - milestone two side:above,Alice In Dissonance
76561198084123358,9900,2015-02-07,Star Trek Online,Cryptic Studios
76561198039441595,20,2014-06-20,Team Fortress Classic,Valve
76561198039441595,269250,2015-05-06,WORLD END ECONOMiCA episode.01,Spicy Tails
AppoGetsSuperAdmin,212500,2015-06-26,The Lord of the Rings Online™,Standing Stone Games Llc
76561198012909706,218130,2013-12-07,Dungeonland,Critical Studio
76561197974500703,57300,2010-12-28,Amnesia: The Dark Descent,Frictional Games
76561197974500703,18700,2011-12-27,And Yet It Moves,Broken Rules
76561198047185525,226620,2013-12-16,Desktop Dungeons,Qcf Design
deployablearchnagel,265630,2014-05-30,Fistful of Frags,Fistful Of Frags Team
Array71,8500,2014-09-27,EVE Online,Ccp
Mackus1011,380600,2015-08-31,Fishing Planet,Fishing Planet Llc
darkmassieh,230190,2015-04-21,War for the Overworld,Brightrock Games
asianturtlefrenzy,246420,2015-12-27,Kingdom Rush,Ironhide Game Studio
asianturtlefrenzy,418340,2015-12-26,RWBY: Grimm Eclipse,Rooster Teeth Games
LaLocaDeLosDulces,80,2015-06-27,Counter-Strike: Condition Zero,Valve
Astrelt,212200,2014-12-13,Mabinogi,Nexon Korea Corp
Astrelt,387860,2015-12-05,the static speaks my name,The Whale Husband
Swish0009,203160,2014-06-22,Tomb Raider,Crystal Dynamicsferal Interactive Macferal Interactive Linux
Aurora99,8400,2014-05-02,Geometry Wars: Retro Evolved,Bizarre Creations
Aurora99,282440,2015-02-15,Quake Live™,Id Software
Aurora99,369580,2015-07-22,NotGTAV,Notgames
76561198083375450,113420,2014-02-10,Fallen Earth Free2Play,Reloaded Productions
76561198083375450,224600,2014-03-23,Defiance,Trion Worlds Inc
auzmoz,320,2013-01-18,Half-Life 2: Deathmatch,Valve
fatrangacuntnolifevirgin,202970,2014-07-29,Call of Duty®: Black Ops II,Treyarch
de_triggered,224540,2015-07-06,Ace of Spades: Battle Builder,Jagex Limited
de_triggered,233450,2015-07-06,Prison Architect,Introversion Software
BAW_Killer,359550,2015-12-13,Tom Clancy's Rainbow Six® Siege,Ubisoft Montreal
76561198018560501,10500,2013-11-27,Empire: Total War™,The Creative Assemblyferal Interactive Macferal Interactive Linux
Infixation,328220,2015-05-06,Wild Season,Quickfire Games
76561198047304525,239070,2014-08-12,Hammerwatch,Crackshell
Bennysaputra,10,2015-08-01,Counter-Strike,Valve
76561198030636321,255710,2015-04-02,Cities: Skylines,Colossal Order Ltd
CHAAANG,238320,2015-09-23,Outlast,Red Barrels
bitmat,201420,2013-07-11,Toki Tori 2+,Two Tribes
76561198030735076,339610,2015-04-09,Freestyle 2: Street Basketball,Joycity
Bluegills,39150,2013-12-22,FINAL FANTASY VIII,Square Enix
Bluegills,293780,2014-08-07,Crawl,Powerhoof
rrbr,270370,2015-01-21,Lambda Wars Beta,Vortal Storm
rrbr,244050,2015-10-01,Rise of Flight United,Studios
bobseagull,242720,2014-05-02,GunZ 2: The Second Duel,Masangsoft Inc
bobseagull,251630,2014-05-23,The Impossible Game,Grip Games
76561198007539695,45730,2014-10-28,Dark Void™ Zero,Other Ocean Interactive
76561198007539695,99400,2014-03-29,Garshasp: The Monster Slayer,Dead Mage
saint556,233190,2014-01-05,Final Exam,Mighty Rocket Studio
brettebear,220780,2014-06-20,Thomas Was Alone,Bithell Games
76561198046094676,4560,2013-09-23,Company of Heroes - Legacy Edition,Relic Entertainment
76561198046094676,25890,2013-03-25,Hearts of Iron III,Paradox Development Studio
76561198059167106,41300,2014-12-12,Altitude,Nimbly Games
Trutle,224760,2014-06-21,FEZ,Polytron Corporation
BugsyBro,291480,2014-07-03,Warface,Crytek
BugsyBro,322910,2015-05-05,"Warhammer 40,000: Regicide",Hammerfall Publishing
76561198094074209,393420,2015-12-18,Hurtworld,Bankroll Studios
busternut,237870,2015-12-27,Planet Explorers,Pathea Games
76561198044402508,302590,2015-01-17,Of Guards And Thieves,Subvert Games
camduman,109600,2014-07-24,Neverwinter,Cryptic Studios
aquelecaraqfazaquilo,19000,2015-01-21,Silent Hill Homecoming,Double Helix Games
aquelecaraqfazaquilo,330840,2015-06-19,Game of Thrones - A Telltale Games Series,Telltale Games
76561197992910116,259720,2014-02-06,Fading Hearts,Sakura River Interactive
76561197992910116,293920,2014-06-09,Spirited Heart Deluxe,Winter Wolves
76561198070072786,400,2014-02-22,Portal,Valve
76561198007988939,305620,2015-11-02,The Long Dark,Hinterland Studio Inc
Lord_Casso,323370,2015-07-11,TERA,Bluehole Inc
fsfs546hd,70000,2013-11-14,Dino D-Day,North And Digital Ranch
76561198045283919,244410,2015-03-07,Supreme Ruler 1936,Battlegoat Studios
ElementalGodChaos,263500,2014-04-25,Dragons and Titans,Wyrmbyte
chicken_tonight,206190,2015-09-03,Gunpoint,Suspicious Developments
chicken_tonight,268650,2015-08-15,From the Depths,Brilliant Skies Ltd
chicken_tonight,285900,2015-11-18,Gang Beasts,Boneloaf
OfficialSenix,273110,2015-10-19,Counter-Strike Nexon: Zombies,Nexon
OfficialSenix,312280,2015-11-18,Simply Chess,Blueline Games
76561198071207551,354140,2015-05-28,Five Nights at Freddy's 3,Scott Cawthon
76561198078246064,233270,2015-04-18,Far Cry 3 - Blood Dragon,Ubisoft Montreal
SirParadiseLost,41700,2015-06-07,S.T.A.L.K.E.R.: Call of Pripyat,Gsc Game World
76561198061456632,301640,2015-12-13,Zombie Army Trilogy,Rebellion
76561198071955492,214490,2014-10-25,Alien: Isolation,Creative Assemblyferal Interactive Macferal Interactive Linux
bruhbruhxd,311210,2015-11-20,Call of Duty®: Black Ops III,Treyarch
76561198045148546,306130,2015-07-11,The Elder Scrolls® Online: Tamriel Unlimited™,Zenimax Online Studios
76561198067214601,67370,2014-03-08,The Darkness II,Digital Extremes
76561198067214601,205100,2013-09-12,Dishonored,Arkane Studios
76561198107811819,346120,2015-02-27,Boring Man - Online Tactical Stickman Combat,Spasman Games
aweoplopo,42700,2014-09-11,Call of Duty®: Black Ops,Treyarch
THE_ART_OF_FEEDING,209730,2013-12-29,R.A.W. Realms of Ancient War,Wizarbox
76561198074763789,57690,2015-04-06,Tropico 4,Haemimont Games
blackcheeze,216150,2014-06-30,MapleStory,Nexon
76561198078913614,312990,2014-08-09,The Expendabros,Free Lives
BOBROSSJPEGEXE,287450,2015-12-06,Rise of Nations: Extended Edition,Skybox Labsbig Huge Games
76561198008827809,234330,2014-05-07,Marvel Puzzle Quest,Demiurge Studios
DerpyAura,235460,2015-03-28,METAL GEAR RISING: REVENGEANCE,Platinumgames
beepbeepimasheep,327890,2014-12-06,I am Bread,Bossa Studios
digfernandes,214250,2014-08-21,I Am Alive,Ubisoft Shangha
digfernandes,38410,2014-10-28,Fallout 2: A Post Nuclear Role Playing Game,Black Isle Studios
dijakeplays,321360,2014-12-04,Primal Carnage: Extinction,Circle Five Studiospub Games
NathanielPeace,239800,2014-06-09,Bleed,Ian Campbell
76561198023903233,409160,2015-12-28,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",Crows Crows Crows
regentorange,208580,2013-12-21,STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™,Obsidian Entertainmentaspyr Mac Linux Amp Windows Update
duzim,335330,2015-05-11,Brick-Force,Exe Games Inc
76561197995098683,40100,2010-11-23,Supreme Commander 2,Gas Powered Games
swscorpian,25010,2015-12-05,Lugaru HD,Wolfire Games
swscorpian,357330,2015-11-06,Space Beast Terror Fright,Nornware Ab
Cab117,102500,2015-01-14,Kingdoms of Amalur: Reckoning™,Big Huge Games Studios
Cab117,34870,2013-12-29,Sniper: Ghost Warrior 2,City Interactive
thedragon347,35720,2013-12-29,Trine 2: Complete Story,Frozenbyte
JamesDurham23JubileeRd,367240,2015-08-14,Avenging Angel,Dark Amber Softworks
Efreak,313340,2014-08-18,Mountain,David Oreilly
hoot_toot,1900,2014-07-08,Earth 2160,Reality Pump Studios
76561198032373589,235360,2013-12-09,Prime World: Defenders,Nival
76561198061285334,33230,2014-10-09,Assassin's Creed 2 Deluxe Edition,Ubisoft Montreal
76561198162487321,418070,2015-12-10,Turbo Pug,Space Cat Studiossnowflameback To Basics Gaming
76561198019669521,8970,2015-08-10,Axel &amp; Pixel,Silver Wish Games
maketeanotwar,233290,2014-12-01,Murdered: Soul Suspect,Airtight Games
76561198048230501,70300,2015-06-15,VVVVVV,Terry Cavanagh
76561197996156672,273350,2015-12-02,Evolve Stage 2,Turtle Rock Studios
sphix,305260,2014-11-26,Battle Islands,Dr Studios
halofreak61,130,2015-01-07,Half-Life: Blue Shift,Gearbox Software
76561198123074348,293540,2014-12-13,Guns and Robots,Masthead Studios Ltd
76561198123074348,332070,2014-12-13,School of Dragons,Jumpstart Games Inc
76561198065934504,24960,2015-04-13,Battlefield: Bad Company™ 2,Dice
76561198065934504,215670,2013-01-11,Home,Benjamin Rivers Inc
Bhulb,222980,2014-03-28,Dead Pixels,Csrstudios
macey_moo,24010,2015-10-15,Train Simulator,Dovetail Games
Infinitespeed,279720,2015-05-22,The I of the Dragon,Primal
iSkulz,113400,2015-12-19,APB Reloaded,Reloaded Productions
ysarge,2500,2014-03-24,Shadowgrounds,Frozenbyte
ysarge,281370,2014-08-22,Real Horror Stories Ultimate Edition,Gameore
76561198041845214,7520,2014-10-29,Two Worlds II HD,Reality Pump Studios
Jonaleko,303390,2015-11-11,Dead Bits,Microblast Games
jubjub727,332310,2015-06-02,LEGO® Worlds,Tt Gamestravellers Tales
jukianinja,48720,2014-06-27,Mount &amp; Blade: With Fire &amp; Sword,Taleworlds Entertainment
JunG00berfuckingsucks,9050,2015-07-25,DOOM 3,Id Software
76561198036171355,236370,2013-11-29,Interstellar Marines,Zero Point Software
usaidwotnow,22350,2014-12-17,BRINK,Splash Damage
usaidwotnow,98400,2013-01-04,Hard Reset Extended Edition,Flying Wild Hog
TheKiwiMantis,263280,2014-11-27,SPINTIRES™,Oovee Game Studios
knitro,24740,2013-07-16,Burnout Paradise: The Ultimate Box,Criterion Games
kuroTENSHI_bread,35480,2013-12-17,Dwarfs!?,Power Of
LaughingRobot,219830,2013-11-11,King Arthur's Gold,Transhuman Design
NUZXD,25830,2014-11-28,Knights of Honor,Black Sea Studios Ltd
558092,250260,2014-02-12,Jazzpunk: Director's Cut,Necrophone Games
76561198056549802,8170,2015-02-23,Battlestations Pacific,Eidos Studio Hungary
76561198071599137,225600,2014-05-28,Blade Symphony,Puny Human
Lickidactyl,71340,2015-02-13,Sonic Generations Collection,Devils Details
linksupersayan,329440,2015-11-03,Sonic Lost World,Sonic Team
76561198046807777,304410,2014-12-24,Hexcells Infinite,Matthew Brown
companothemuslim,57740,2013-03-28,Jagged Alliance - Back in Action,Coreplay Gmbhbigmoon Studios
lewisbigd,274170,2015-03-20,Hotline Miami 2: Wrong Number,Dennaton Games
lewisbigd,313080,2015-06-06,The Masterplan,Shark Punch
lordoftheguppies,324260,2015-05-24,VoidExpanse,Atomictorch Studio
76561198051157544,282800,2015-01-26,100% Orange Juice,Orangejuice
milez1987,99700,2011-12-13,NightSky,Nicalis Inc
TacticalCrayon,16450,2012-03-23,F.E.A.R. 2: Project Origin,Monolith
76561198063274178,375600,2015-09-14,Air Brawl,Landfall
maaatzbr,209650,2015-03-14,Call of Duty®: Advanced Warfare - Gold Edition,Sledgehammer Gamesraven Software
mavoks,211500,2014-07-14,RaceRoom Racing Experience,Sector Studios
76561198066312344,244930,2015-03-20,SNOW,Poppermost Productions
meltingman234,286100,2014-12-17,You Have to Win the Game,Minor Key Games
meltingman234,227600,2014-03-29,Castle of Illusion,Sega Studios Australiaferal Interactive Mac
meltingman234,252150,2014-02-21,Grimm,Spicyhorse Games
76561198058988942,298160,2014-11-21,Eldevin,Hunted Cow Studios
135781,289650,2014-11-15,Assassin's Creed® Unity,Ubisoft
76561198038398765,227220,2014-04-02,Sang-Froid - Tales of Werewolves,Artifice Studio
vaughan,300380,2015-07-10,Road Redemption,Pixel Dash Studios Eqgames
54678907652,253250,2015-10-04,Stonehearth,Radiant Entertainment
76561198068239282,265550,2014-10-06,Dead Rising 3 Apocalypse Edition,Capcom Game Studio Vancouver
76561198001688490,12220,2014-11-28,Grand Theft Auto: Episodes from Liberty City,Rockstar North Toronto
76561197986529825,268400,2015-03-12,Panzer Corps,Flashback Gamesthe Lordz Games Studio
76561198087039124,45100,2014-01-13,Secret of the Magic Crystals,Artery Games
GuiCreed368,241560,2014-12-21,The Crew™,Ivory Tower In Collaboration With Ubisoft Reflections
76561197970724420,35700,2011-10-31,Trine Enchanted Edition,Frozenbyte
Greendove,247020,2014-01-02,"Cook, Serve, Delicious!",Vertigo Gaming Inc
Mediev,271860,2015-01-10,Super Killer Hornet: Resurrection,Flump Studios
Pedacker,253690,2014-04-05,Tiny Brains,Spearhead Games
76561198075913639,220260,2013-01-04,Farming Simulator 2013 Titanium Edition,Giants Software
phrostb,45760,2013-11-01,Ultra Street Fighter® IV,Capcom
phrostb,238210,2014-03-23,System Shock 2,Irrational Gameslooking Glass Studios
phrostb,207750,2014-03-30,Symphony,Empty Clip Studios
phrostb,387240,2015-12-23,Steel Rain,Polarityflowadrian Zingg
76561197979086508,256190,2014-08-01,Enemy Front,Ci Games
Ppkdoevil,315430,2015-07-10,Polarity,Bluebutton Games
UZS,342970,2015-05-20,Pixel Survivors,Sachonskirenamilanesisith
minecraftdude1111,71250,2014-12-03,Sonic Adventure DX,Sega
Podzoz,300,2013-12-19,Day of Defeat: Source,Valve
notthesemuffins,304650,2014-09-07,SUNLESS SEA,Failbetter Games
76561198063159016,275100,2015-03-10,Shelter 2,Might And Delight
dizioboy,351790,2015-03-06,Invisible Apartment,Milan Kazarkajeroen Van Oosten
76561198024531364,260430,2015-07-02,The Four Kings Casino and Slots,Digital Leisure Inc
76561197981203305,33980,2013-12-25,Pound of Ground,Centauri Production
76561198094936736,239200,2014-06-27,Amnesia: A Machine for Pigs,The Chinese Room
revolverace,15700,2011-12-28,Oddworld: Abe's Oddysee®,Oddworld Inhabitants
76561198060295827,390670,2015-11-16,Steel Ocean,Ice Entertainment
