User_Id,Item_Id,features
js41637,239030,"Papers, Please, 2013-11-29, "
evcentric,263360,"3089 -- Futuristic Action RPG, 2014-10-15, Phrts Software"
doctr,250320,"The Wolf Among Us, 2013-10-14, Telltale Games"
maplemage,204300,"Awesomenauts - the 2D moba, 2013-07-11, Ronimo Games"
76561198077246154,304930,"Unturned, 2014-08-25, Smartly Dressed Games"
tru_mu_,287980,"Mini Metro, 2015-12-15, Dinosaur Polo Club"
VVillis,213670,"South Park™: The Stick of Truth™, 2015-01-06, Obsidian Entertainment"
76561198070194565,248570,"Toribash, 2015-11-09, Nabi Studios"
UTNerd24,376920,"Tiki Man, 2015-06-06, Anarchy Enterprises"
Life-Of-Blu,377160,"Fallout 4, 2015-11-13, Bethesda Game Studios"
CaptianAutismo,252490,"Rust, 2015-12-17, Facepunch Studios"
kube134,251990,"Long Live The Queen, 2014-06-28, Hanako Games"
iamthekingofbrowntown,252950,"Rocket League®, 2015-09-13, Psyonix Inc"
Posiblydead,277430,"Halo: Spartan Assault, 2014-04-11, Vanguard Games Industries"
76561198102421718,274940,"Depth, 2015-08-03, Digital Confectioners"
76561198030567998,32430,"STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition, 2014-02-23, Lucasartsaspyr Studios"
76561198030567998,332800,"Five Nights at Freddy's 2, 2014-11-11, Scott Cawthon"
76561198060447950,200510,"XCOM: Enemy Unknown, 2015-09-26, Firaxis Gamesferal Interactive Macferal Interactive Linux"
Nozomikat,264200,"One Finger Death Punch, 2014-08-01, Silver Dollar Games"
ii_voltage_ii,253710,"theHunter Classic, 2014-06-29, Expansive Worldsavalanche Studios"
Xx-Woods,295550,"Royal Quest, 2014-08-17, Katauri"
kevinator23,8850,"BioShock® 2, 2015-09-06, K Marink Chinadigital Extremesk Australiaferal Interactive Mac"
kevinator23,220240,"Far Cry 3, 2014-05-24, Ubisoft Montreal Massive Entertainment And Ubisoft Shanghai"
kevinator23,320760,"Tokyo School Life, 2015-07-06, M Coltd"
de_Butl3r,209870,"Blacklight: Retribution, 2014-10-13, Hardsuit Labs"
Bluezap1,362890,"Black Mesa, 2015-12-27, Crowbar Collective"
Lord_Exploit,311560,"Assassin’s Creed® Rogue, 2015-03-13, Ubisoft Sofiaubisoft Kiev"
AVATAR715,266430,"Anarchy Arcade, 2015-02-25, Elijah Newmangomez"
Magjiikal,370480,"Pixel Galaxy, 2015-10-05, Serenity Forge"
2768820078,221380,"Age of Empires II HD, 2015-08-08, Skybox Labshidden Path Entertainmentensemble Studios"
2768820078,287700,"METAL GEAR SOLID V: THE PHANTOM PAIN, 2015-09-01, Konami Digital Entertainment"
EizanAratoFujimaki,70,"Half-Life, 2015-10-28, Valve"
Pyromanic,240,"Counter-Strike: Source, 2013-02-15, Valve"
WitchHunter4542,237310,"Elsword, 2015-01-13, Kog"
76561198043458582,107410,"Arma 3, 2015-11-22, Bohemia Interactive"
1337lolroflmao,7940,"Call of Duty® 4: Modern Warfare®, 2013-12-28, Infinity Wardaspyr Mac"
1337lolroflmao,10180,"Call of Duty®: Modern Warfare® 2, 2013-12-28, Infinity Wardaspyr Mac"
76561198065593074,304050,"Trove, 2015-09-23, Trion Worlds"
66666669999999,302830,"BLOCKADE 3D, 2015-01-05, Shumkov Dmitriy"
ReMiXOfficalSteam,352460,"Dead Realm, 2015-10-12, Section Studios"
redsncrimson,274920,"FaceRig, 2014-12-23, Holotech Studios"
76561198071214618,268750,"Magicite, 2015-05-11, Smashgames"
Michaelele,6060,"Star Wars: Battlefront 2 (Classic, 2005), 2014-08-07, Pandemic Studios"
76561198079990063,231040,"Beatbuddy: Tale of the Guardians, 2014-03-14, Threaks"
76561198084542731,47790,"Medal of Honor™, 2014-02-16, Electronic Arts"
GamerFag,380,"Half-Life 2: Episode One, 2011-01-27, Valve"
GamerFag,420,"Half-Life 2: Episode Two, 2011-01-27, Valve"
ulramite,290020,"LogicBots, 2014-10-27, Incandescent Games"
SALTTHEW0UND,248820,"Risk of Rain, 2015-06-12, Hopoo Games Llc"
TomoeMamiewe,10150,"Prototype™, 2014-02-16, Radical Entertainment"
76561198057086148,214950,"Total War™: ROME II - Emperor Edition, 2015-01-17, Creative Assembly"
76561198167207237,265930,"Goat Simulator, 2015-11-29, Coffee Stain Studios"
advenger95,307690,"Sleeping Dogs: Definitive Edition, 2015-09-02, United Front Gamesferal Interactive Mac"
Agronoth,9450,"Warhammer® 40,000: Dawn of War® - Soulstorm, 2015-07-15, Relic Entertainment"
76561198068565589,286570,"F1 2015, 2015-07-18, Codemastersferal Interactive Linux"
NaruseAiria,108600,"Project Zomboid, 2014-10-15, The Indie Stone"
76561198067713802,239660,"Soldier Front 2, 2015-09-27, Dragonfly"
Albolah,283920,"Putt-Putt® Joins the Parade, 2015-12-29, Humongous Entertainment"
Albolah,294650,"Putt-Putt® Goes to the Moon, 2015-12-30, Humongous Entertainment"
maxpaynepillkiller,12120,"Grand Theft Auto: San Andreas, 2015-12-30, Rockstar Games"
76561198075935236,250900,"The Binding of Isaac: Rebirth, 2015-08-27, Nicalis Inc"
AMV72,206440,"To the Moon, 2013-01-21, Freebird Games"
Andraison,22230,"Rock of Ages, 2015-07-31, Ace Team"
76561198099625419,200260,"Batman: Arkham City - Game of the Year Edition, 2014-05-08, Rocksteady Studiosferal Interactive Mac"
76561198099625419,241540,"State of Decay, 2013-12-20, Undead Labs"
76561198037888300,344770,"fault - milestone two side:above, 2015-09-12, Alice In Dissonance"
76561198084123358,9900,"Star Trek Online, 2015-02-07, Cryptic Studios"
76561198039441595,20,"Team Fortress Classic, 2014-06-20, Valve"
76561198039441595,269250,"WORLD END ECONOMiCA episode.01, 2015-05-06, Spicy Tails"
AppoGetsSuperAdmin,212500,"The Lord of the Rings Online™, 2015-06-26, Standing Stone Games Llc"
76561198012909706,218130,"Dungeonland, 2013-12-07, Critical Studio"
76561197974500703,57300,"Amnesia: The Dark Descent, 2010-12-28, Frictional Games"
76561197974500703,18700,"And Yet It Moves, 2011-12-27, Broken Rules"
76561198047185525,226620,"Desktop Dungeons, 2013-12-16, Qcf Design"
deployablearchnagel,265630,"Fistful of Frags, 2014-05-30, Fistful Of Frags Team"
Array71,8500,"EVE Online, 2014-09-27, Ccp"
Mackus1011,380600,"Fishing Planet, 2015-08-31, Fishing Planet Llc"
darkmassieh,230190,"War for the Overworld, 2015-04-21, Brightrock Games"
asianturtlefrenzy,246420,"Kingdom Rush, 2015-12-27, Ironhide Game Studio"
asianturtlefrenzy,418340,"RWBY: Grimm Eclipse, 2015-12-26, Rooster Teeth Games"
LaLocaDeLosDulces,80,"Counter-Strike: Condition Zero, 2015-06-27, Valve"
Astrelt,212200,"Mabinogi, 2014-12-13, Nexon Korea Corp"
Astrelt,387860,"the static speaks my name, 2015-12-05, The Whale Husband"
Swish0009,203160,"Tomb Raider, 2014-06-22, Crystal Dynamicsferal Interactive Macferal Interactive Linux"
Aurora99,8400,"Geometry Wars: Retro Evolved, 2014-05-02, Bizarre Creations"
Aurora99,282440,"Quake Live™, 2015-02-15, Id Software"
Aurora99,369580,"NotGTAV, 2015-07-22, Notgames"
76561198083375450,113420,"Fallen Earth Free2Play, 2014-02-10, Reloaded Productions"
76561198083375450,224600,"Defiance, 2014-03-23, Trion Worlds Inc"
auzmoz,320,"Half-Life 2: Deathmatch, 2013-01-18, Valve"
fatrangacuntnolifevirgin,202970,"Call of Duty®: Black Ops II, 2014-07-29, Treyarch"
de_triggered,224540,"Ace of Spades: Battle Builder, 2015-07-06, Jagex Limited"
de_triggered,233450,"Prison Architect, 2015-07-06, Introversion Software"
BAW_Killer,359550,"Tom Clancy's Rainbow Six® Siege, 2015-12-13, Ubisoft Montreal"
76561198018560501,10500,"Empire: Total War™, 2013-11-27, The Creative Assemblyferal Interactive Macferal Interactive Linux"
Infixation,328220,"Wild Season, 2015-05-06, Quickfire Games"
76561198047304525,239070,"Hammerwatch, 2014-08-12, Crackshell"
Bennysaputra,10,"Counter-Strike, 2015-08-01, Valve"
76561198030636321,255710,"Cities: Skylines, 2015-04-02, Colossal Order Ltd"
CHAAANG,238320,"Outlast, 2015-09-23, Red Barrels"
bitmat,201420,"Toki Tori 2+, 2013-07-11, Two Tribes"
76561198030735076,339610,"Freestyle 2: Street Basketball, 2015-04-09, Joycity"
Bluegills,39150,"FINAL FANTASY VIII, 2013-12-22, Square Enix"
Bluegills,293780,"Crawl, 2014-08-07, Powerhoof"
rrbr,270370,"Lambda Wars Beta, 2015-01-21, Vortal Storm"
rrbr,244050,"Rise of Flight United, 2015-10-01, Studios"
bobseagull,242720,"GunZ 2: The Second Duel, 2014-05-02, Masangsoft Inc"
bobseagull,251630,"The Impossible Game, 2014-05-23, Grip Games"
76561198007539695,45730,"Dark Void™ Zero, 2014-10-28, Other Ocean Interactive"
76561198007539695,99400,"Garshasp: The Monster Slayer, 2014-03-29, Dead Mage"
saint556,233190,"Final Exam, 2014-01-05, Mighty Rocket Studio"
brettebear,220780,"Thomas Was Alone, 2014-06-20, Bithell Games"
76561198046094676,4560,"Company of Heroes - Legacy Edition, 2013-09-23, Relic Entertainment"
76561198046094676,25890,"Hearts of Iron III, 2013-03-25, Paradox Development Studio"
76561198059167106,41300,"Altitude, 2014-12-12, Nimbly Games"
Trutle,224760,"FEZ, 2014-06-21, Polytron Corporation"
BugsyBro,291480,"Warface, 2014-07-03, Crytek"
BugsyBro,322910,"Warhammer 40,000: Regicide, 2015-05-05, Hammerfall Publishing"
76561198094074209,393420,"Hurtworld, 2015-12-18, Bankroll Studios"
busternut,237870,"Planet Explorers, 2015-12-27, Pathea Games"
76561198044402508,302590,"Of Guards And Thieves, 2015-01-17, Subvert Games"
camduman,109600,"Neverwinter, 2014-07-24, Cryptic Studios"
aquelecaraqfazaquilo,19000,"Silent Hill Homecoming, 2015-01-21, Double Helix Games"
aquelecaraqfazaquilo,330840,"Game of Thrones - A Telltale Games Series, 2015-06-19, Telltale Games"
76561197992910116,259720,"Fading Hearts, 2014-02-06, Sakura River Interactive"
76561197992910116,293920,"Spirited Heart Deluxe, 2014-06-09, Winter Wolves"
76561198070072786,400,"Portal, 2014-02-22, Valve"
76561198007988939,305620,"The Long Dark, 2015-11-02, Hinterland Studio Inc"
Lord_Casso,323370,"TERA, 2015-07-11, Bluehole Inc"
fsfs546hd,70000,"Dino D-Day, 2013-11-14, North And Digital Ranch"
76561198045283919,244410,"Supreme Ruler 1936, 2015-03-07, Battlegoat Studios"
ElementalGodChaos,263500,"Dragons and Titans, 2014-04-25, Wyrmbyte"
chicken_tonight,206190,"Gunpoint, 2015-09-03, Suspicious Developments"
chicken_tonight,268650,"From the Depths, 2015-08-15, Brilliant Skies Ltd"
chicken_tonight,285900,"Gang Beasts, 2015-11-18, Boneloaf"
OfficialSenix,273110,"Counter-Strike Nexon: Zombies, 2015-10-19, Nexon"
OfficialSenix,312280,"Simply Chess, 2015-11-18, Blueline Games"
76561198071207551,354140,"Five Nights at Freddy's 3, 2015-05-28, Scott Cawthon"
76561198078246064,233270,"Far Cry 3 - Blood Dragon, 2015-04-18, Ubisoft Montreal"
SirParadiseLost,41700,"S.T.A.L.K.E.R.: Call of Pripyat, 2015-06-07, Gsc Game World"
76561198061456632,301640,"Zombie Army Trilogy, 2015-12-13, Rebellion"
76561198071955492,214490,"Alien: Isolation, 2014-10-25, Creative Assemblyferal Interactive Macferal Interactive Linux"
bruhbruhxd,311210,"Call of Duty®: Black Ops III, 2015-11-20, Treyarch"
76561198045148546,306130,"The Elder Scrolls® Online: Tamriel Unlimited™, 2015-07-11, Zenimax Online Studios"
76561198067214601,67370,"The Darkness II, 2014-03-08, Digital Extremes"
76561198067214601,205100,"Dishonored, 2013-09-12, Arkane Studios"
76561198107811819,346120,"Boring Man - Online Tactical Stickman Combat, 2015-02-27, Spasman Games"
aweoplopo,42700,"Call of Duty®: Black Ops, 2014-09-11, Treyarch"
THE_ART_OF_FEEDING,209730,"R.A.W. Realms of Ancient War, 2013-12-29, Wizarbox"
76561198074763789,57690,"Tropico 4, 2015-04-06, Haemimont Games"
blackcheeze,216150,"MapleStory, 2014-06-30, Nexon"
76561198078913614,312990,"The Expendabros, 2014-08-09, Free Lives"
BOBROSSJPEGEXE,287450,"Rise of Nations: Extended Edition, 2015-12-06, Skybox Labsbig Huge Games"
76561198008827809,234330,"Marvel Puzzle Quest, 2014-05-07, Demiurge Studios"
DerpyAura,235460,"METAL GEAR RISING: REVENGEANCE, 2015-03-28, Platinumgames"
beepbeepimasheep,327890,"I am Bread, 2014-12-06, Bossa Studios"
digfernandes,214250,"I Am Alive, 2014-08-21, Ubisoft Shangha"
digfernandes,38410,"Fallout 2: A Post Nuclear Role Playing Game, 2014-10-28, Black Isle Studios"
dijakeplays,321360,"Primal Carnage: Extinction, 2014-12-04, Circle Five Studiospub Games"
NathanielPeace,239800,"Bleed, 2014-06-09, Ian Campbell"
76561198023903233,409160,"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist, 2015-12-28, Crows Crows Crows"
regentorange,208580,"STAR WARS™ Knights of the Old Republic™ II - The Sith Lords™, 2013-12-21, Obsidian Entertainmentaspyr Mac Linux Amp Windows Update"
duzim,335330,"Brick-Force, 2015-05-11, Exe Games Inc"
76561197995098683,40100,"Supreme Commander 2, 2010-11-23, Gas Powered Games"
swscorpian,25010,"Lugaru HD, 2015-12-05, Wolfire Games"
swscorpian,357330,"Space Beast Terror Fright, 2015-11-06, Nornware Ab"
Cab117,102500,"Kingdoms of Amalur: Reckoning™, 2015-01-14, Big Huge Games Studios"
Cab117,34870,"Sniper: Ghost Warrior 2, 2013-12-29, City Interactive"
thedragon347,35720,"Trine 2: Complete Story, 2013-12-29, Frozenbyte"
JamesDurham23JubileeRd,367240,"Avenging Angel, 2015-08-14, Dark Amber Softworks"
Efreak,313340,"Mountain, 2014-08-18, David Oreilly"
hoot_toot,1900,"Earth 2160, 2014-07-08, Reality Pump Studios"
76561198032373589,235360,"Prime World: Defenders, 2013-12-09, Nival"
76561198061285334,33230,"Assassin's Creed 2 Deluxe Edition, 2014-10-09, Ubisoft Montreal"
76561198162487321,418070,"Turbo Pug, 2015-12-10, Space Cat Studiossnowflameback To Basics Gaming"
76561198019669521,8970,"Axel &amp; Pixel, 2015-08-10, Silver Wish Games"
maketeanotwar,233290,"Murdered: Soul Suspect, 2014-12-01, Airtight Games"
76561198048230501,70300,"VVVVVV, 2015-06-15, Terry Cavanagh"
76561197996156672,273350,"Evolve Stage 2, 2015-12-02, Turtle Rock Studios"
sphix,305260,"Battle Islands, 2014-11-26, Dr Studios"
halofreak61,130,"Half-Life: Blue Shift, 2015-01-07, Gearbox Software"
76561198123074348,293540,"Guns and Robots, 2014-12-13, Masthead Studios Ltd"
76561198123074348,332070,"School of Dragons, 2014-12-13, Jumpstart Games Inc"
76561198065934504,24960,"Battlefield: Bad Company™ 2, 2015-04-13, Dice"
76561198065934504,215670,"Home, 2013-01-11, Benjamin Rivers Inc"
Bhulb,222980,"Dead Pixels, 2014-03-28, Csrstudios"
macey_moo,24010,"Train Simulator, 2015-10-15, Dovetail Games"
Infinitespeed,279720,"The I of the Dragon, 2015-05-22, Primal"
iSkulz,113400,"APB Reloaded, 2015-12-19, Reloaded Productions"
ysarge,2500,"Shadowgrounds, 2014-03-24, Frozenbyte"
ysarge,281370,"Real Horror Stories Ultimate Edition, 2014-08-22, Gameore"
76561198041845214,7520,"Two Worlds II HD, 2014-10-29, Reality Pump Studios"
Jonaleko,303390,"Dead Bits, 2015-11-11, Microblast Games"
jubjub727,332310,"LEGO® Worlds, 2015-06-02, Tt Gamestravellers Tales"
jukianinja,48720,"Mount &amp; Blade: With Fire &amp; Sword, 2014-06-27, Taleworlds Entertainment"
JunG00berfuckingsucks,9050,"DOOM 3, 2015-07-25, Id Software"
76561198036171355,236370,"Interstellar Marines, 2013-11-29, Zero Point Software"
usaidwotnow,22350,"BRINK, 2014-12-17, Splash Damage"
usaidwotnow,98400,"Hard Reset Extended Edition, 2013-01-04, Flying Wild Hog"
TheKiwiMantis,263280,"SPINTIRES™, 2014-11-27, Oovee Game Studios"
knitro,24740,"Burnout Paradise: The Ultimate Box, 2013-07-16, Criterion Games"
kuroTENSHI_bread,35480,"Dwarfs!?, 2013-12-17, Power Of"
LaughingRobot,219830,"King Arthur's Gold, 2013-11-11, Transhuman Design"
NUZXD,25830,"Knights of Honor, 2014-11-28, Black Sea Studios Ltd"
558092,250260,"Jazzpunk: Director's Cut, 2014-02-12, Necrophone Games"
76561198056549802,8170,"Battlestations Pacific, 2015-02-23, Eidos Studio Hungary"
76561198071599137,225600,"Blade Symphony, 2014-05-28, Puny Human"
Lickidactyl,71340,"Sonic Generations Collection, 2015-02-13, Devils Details"
linksupersayan,329440,"Sonic Lost World, 2015-11-03, Sonic Team"
76561198046807777,304410,"Hexcells Infinite, 2014-12-24, Matthew Brown"
companothemuslim,57740,"Jagged Alliance - Back in Action, 2013-03-28, Coreplay Gmbhbigmoon Studios"
lewisbigd,274170,"Hotline Miami 2: Wrong Number, 2015-03-20, Dennaton Games"
lewisbigd,313080,"The Masterplan, 2015-06-06, Shark Punch"
lordoftheguppies,324260,"VoidExpanse, 2015-05-24, Atomictorch Studio"
76561198051157544,282800,"100% Orange Juice, 2015-01-26, Orangejuice"
milez1987,99700,"NightSky, 2011-12-13, Nicalis Inc"
TacticalCrayon,16450,"F.E.A.R. 2: Project Origin, 2012-03-23, Monolith"
76561198063274178,375600,"Air Brawl, 2015-09-14, Landfall"
maaatzbr,209650,"Call of Duty®: Advanced Warfare - Gold Edition, 2015-03-14, Sledgehammer Gamesraven Software"
mavoks,211500,"RaceRoom Racing Experience, 2014-07-14, Sector Studios"
76561198066312344,244930,"SNOW, 2015-03-20, Poppermost Productions"
meltingman234,286100,"You Have to Win the Game, 2014-12-17, Minor Key Games"
meltingman234,227600,"Castle of Illusion, 2014-03-29, Sega Studios Australiaferal Interactive Mac"
meltingman234,252150,"Grimm, 2014-02-21, Spicyhorse Games"
76561198058988942,298160,"Eldevin, 2014-11-21, Hunted Cow Studios"
135781,289650,"Assassin's Creed® Unity, 2014-11-15, Ubisoft"
76561198038398765,227220,"Sang-Froid - Tales of Werewolves, 2014-04-02, Artifice Studio"
vaughan,300380,"Road Redemption, 2015-07-10, Pixel Dash Studios Eqgames"
54678907652,253250,"Stonehearth, 2015-10-04, Radiant Entertainment"
76561198068239282,265550,"Dead Rising 3 Apocalypse Edition, 2014-10-06, Capcom Game Studio Vancouver"
76561198001688490,12220,"Grand Theft Auto: Episodes from Liberty City, 2014-11-28, Rockstar North Toronto"
76561197986529825,268400,"Panzer Corps, 2015-03-12, Flashback Gamesthe Lordz Games Studio"
76561198087039124,45100,"Secret of the Magic Crystals, 2014-01-13, Artery Games"
GuiCreed368,241560,"The Crew™, 2014-12-21, Ivory Tower In Collaboration With Ubisoft Reflections"
76561197970724420,35700,"Trine Enchanted Edition, 2011-10-31, Frozenbyte"
Greendove,247020,"Cook, Serve, Delicious!, 2014-01-02, Vertigo Gaming Inc"
Mediev,271860,"Super Killer Hornet: Resurrection, 2015-01-10, Flump Studios"
Pedacker,253690,"Tiny Brains, 2014-04-05, Spearhead Games"
76561198075913639,220260,"Farming Simulator 2013 Titanium Edition, 2013-01-04, Giants Software"
phrostb,45760,"Ultra Street Fighter® IV, 2013-11-01, Capcom"
phrostb,238210,"System Shock 2, 2014-03-23, Irrational Gameslooking Glass Studios"
phrostb,207750,"Symphony, 2014-03-30, Empty Clip Studios"
phrostb,387240,"Steel Rain, 2015-12-23, Polarityflowadrian Zingg"
76561197979086508,256190,"Enemy Front, 2014-08-01, Ci Games"
Ppkdoevil,315430,"Polarity, 2015-07-10, Bluebutton Games"
UZS,342970,"Pixel Survivors, 2015-05-20, Sachonskirenamilanesisith"
minecraftdude1111,71250,"Sonic Adventure DX, 2014-12-03, Sega"
Podzoz,300,"Day of Defeat: Source, 2013-12-19, Valve"
notthesemuffins,304650,"SUNLESS SEA, 2014-09-07, Failbetter Games"
76561198063159016,275100,"Shelter 2, 2015-03-10, Might And Delight"
dizioboy,351790,"Invisible Apartment, 2015-03-06, Milan Kazarkajeroen Van Oosten"
76561198024531364,260430,"The Four Kings Casino and Slots, 2015-07-02, Digital Leisure Inc"
76561197981203305,33980,"Pound of Ground, 2013-12-25, Centauri Production"
76561198094936736,239200,"Amnesia: A Machine for Pigs, 2014-06-27, The Chinese Room"
revolverace,15700,"Oddworld: Abe's Oddysee®, 2011-12-28, Oddworld Inhabitants"
76561198060295827,390670,"Steel Ocean, 2015-11-16, Ice Entertainment"
